广东频道,#genre#
珠江台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_GDZhuJiang.m3u8#,http://tkhz.vip/gd234.php?id=gdzhujiang_1500#http://116.199.5.52:8114/LIVES/?FvSeid=1&Fsv_filetype=1&Fsv_otype=1&Fsv_rate_id=1&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=79#http://www.dszbdq.cn/play/gdstv.php?id=zjpd#http://mszb198610.5ay.xyz/gdtvcm.php?pd=zjpd#http://39.135.38.13/PLTV/88888888/224/3221226515/index.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=79&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
广东公共,http://tkhz.vip/gd234.php?id=gdpublic_1500
广东新闻,http://tkhz.vip/gd234.php?id=gdnews_1500
广东体育,http://tkhz.vip/gd234.php?id=gdsports_1500
南方卫视,http://tkhz.vip/gd234.php?id=gdnanfang_1500
广东经视,http://tkhz.vip/gd234.php?id=GDjingjikejiaoHD_3000
广东综艺,http://tkhz.vip/gd234.php?id=gdzongyi_1500
广东影视,http://tkhz.vip/gd234.php?id=gdyingshi_1500
广东少儿,http://tkhz.vip/gd234.php?id=gdshaoer_1500
广东房产,http://tkhz.vip/gd234.php?id=fangchan_1500
珠江电影,http://tkhz.vip/gd234.php?id=zjfilms_1500
现代教育,http://tkhz.vip/gd234.php?id=xiandaijiaoyu_1500
岭南戏曲,http://tkhz.vip/gd234.php?id=lingnanxiqu_1500
广州综合,http://tkhz.vip/gd234.php?id=guangzhou_1500
广州新闻,http://tkhz.vip/gd234.php?id=gznews_1500
广州经济,http://tkhz.vip/gd234.php?id=gzeconomic_1500
广州生活,http://tkhz.vip/gd234.php?id=gzlife_1500
广州竞赛,http://tkhz.vip/gd234.php?id=gzcompetition_1500
广州影视,http://tkhz.vip/gd234.php?id=gzfilms_1500
广州少儿,http://tkhz.vip/gd234.php?id=gzchild_1500
南海综合,http://tkhz.vip/gd234.php?id=nanhaitai_2000
顺德综合,http://tkhz.vip/gd234.php?id=shundetai_2000
新会综合,http://tkhz.vip/gd234.php?id=xinhui_1500
佛山综合,http://tkhz.vip/gd234.php?id=foshannews_1500
佛山公共,http://tkhz.vip/gd234.php?id=foshanyingshi_1500
湛江综合,http://tkhz.vip/gd234.php?id=zhanjiangzonghe_1500
湛江公共,http://tkhz.vip/gd234.php?id=zhanjianggongong_1500
韶关综合,http://tkhz.vip/gd234.php?id=shaoguanzonghe_1500
韶关公共,http://tkhz.vip/gd234.php?id=shaoguangonggong_1500
博罗经典,http://tkhz.vip/gd234.php?id=boluojingdian_1500
博罗综合,http://tkhz.vip/gd234.php?id=boluozonghe_1500
云浮一套,http://tkhz.vip/gd234.php?id=yunfuyitao_1500
云浮二套,http://tkhz.vip/gd234.php?id=yunfuertao_1500
珠海一套,http://tkhz.vip/gd234.php?id=zhuhaiyitao_1500
珠海二套,http://tkhz.vip/gd234.php?id=zhuhaiertao_1500
潮州一套,http://tkhz.vip/gd234.php?id=chaozhouyitao_1500
潮州二套,http://tkhz.vip/gd234.php?id=chaozhouertao_1500
东莞一套,http://tkhz.vip/gd234.php?id=dongguanyitao_1500
东莞二套,http://tkhz.vip/gd234.php?id=dongguanertao_1500
梅州一套,http://tkhz.vip/gd234.php?id=meizhouyitao_1500
梅州二套,http://tkhz.vip/gd234.php?id=meizhouertao_1500
江门一套,http://tkhz.vip/gd234.php?id=jiangmenyitao_1500
江门二套,http://tkhz.vip/gd234.php?id=jiangmenertao_1500
中山一套,http://tkhz.vip/gd234.php?id=zhongshanyitao_1500
中山二套,http://tkhz.vip/gd234.php?id=zhongshanertao_1500
河源一套,http://tkhz.vip/gd234.php?id=heyuanyitao_1500
河源二套,http://tkhz.vip/gd234.php?id=heyuanertao_1500
肇庆一套,http://tkhz.vip/gd234.php?id=zhaoqingyitao_1500
肇庆二套,http://tkhz.vip/gd234.php?id=zhaoqingertao_1500
惠州一套,http://tkhz.vip/gd234.php?id=huizhouyitao_1500
惠州二套,http://tkhz.vip/gd234.php?id=huizhouertao_1500
汕头一套,http://tkhz.vip/gd234.php?id=shantouyitaogaoqing_1500
汕头二套,http://tkhz.vip/gd234.php?id=shantouertaogaoqing_1500
汕头三套,http://tkhz.vip/gd234.php?id=shantousantaogaoqing_1500
